Employee_No,Name,Gender,Year_of_Birth,Marital_Status,Religion_ID,Designation_ID,Employment_Category,Employment_Type,Join_year,Status,Inactive_year,Inactive_Month,Active_years,Active_months
347,Myrl Bechtelar MD,Male,1965,Married,1,24,Staff,Permanant,1993,Active,,,29,7
348,Francis Mraz,Male,1973,Married,1,24,Staff,Permanant,1995,Active,,,28,4
349,Mr Emmet Blick Jr,Male,1974,Married,1,23,Staff,Permanant,1988,Resigned,2021.0,6.0,35,5
351,Mr Nelson Braun PhD,Female,1974,Married,4,40,Staff,Permanant,1999,Resigned,2022.0,1.0,23,9
352,Maximillian Hand,Male,1980,Married,1,7,Staff,Permanant,2001,Active,,,22,5
353,Zena Nicolas,Male,1962,Married,1,22,Staff,Permanant,2003,Inactive,2020.0,8.0,19,9
354,Coralie Bernhard,Male,1969,Married,1,22,Staff,Permanant,2003,Active,,,19,8
355,Josh Roob,Male,1981,Married,1,126,Staff,Permanant,2004,Active,,,19,4
356,Ernest Upton,Female,1974,Single,1,23,Staff,Permanant,2005,Active,,,18,1
359,Sydney Oberbrunner,Male,1967,Married,1,41,Staff,Permanant,2006,Resigned,2022.0,1.0,17,0
360,Angeline Yundt,Male,1976,Married,1,42,Management,Permanant,2006,Resigned,2021.0,5.0,16,10
361,Prof Karlie Bauch III,Male,1986,Single,3,7,Staff,Permanant,2006,Active,,,16,8
363,Leonel Romaguera,Male,1975,Married,1,24,Staff,Permanant,2007,Resigned,2021.0,5.0,16,1
365,Sidney Macejkovic,Male,1984,Married,1,43,Staff,Permanant,2007,Inactive,2020.0,9.0,15,8
366,Prof Jerod Pfeffer,Male,1973,Married,1,44,Staff,Permanant,2008,Inactive,2020.0,5.0,14,7
371,Ignatius Volkman DDS,Female,1963,Single,1,45,Management,Contarct Basis,2010,Resigned,2021.0,4.0,12,11
372,Doyle Hettinger,Male,1981,Married,1,46,Staff,Contarct Basis,2010,Inactive,2020.0,9.0,12,11
373,Izaiah Berge,Male,1990,Married,1,35,Staff,Contarct Basis,2010,Active,,,12,8
376,Prof Arden Jacobs III,Male,1961,Married,1,7,Staff,Contarct Basis,2011,Active,,,12,3
377,Shaylee Schroeder III,Male,1982,Single,2,48,Staff,Contarct Basis,2011,Active,,,11,8
378,Raymond Bogan,Male,1965,Married,1,33,Staff,Contarct Basis,2011,Inactive,2020.0,7.0,11,7
379,Kayden Rice,Male,1991,Single,1,27,Staff,Contarct Basis,2012,Inactive,2020.0,6.0,11,5
380,Macey Simonis,Male,1978,Married,1,24,Staff,Contarct Basis,2012,Active,,,11,5
381,Jayde Witting,Male,1982,Married,2,22,Staff,Contarct Basis,2012,Active,,,11,3
383,Sylvan Gislason,Male,1994,Married,1,24,Staff,Contarct Basis,2012,Active,,,11,1
384,Dr Kennedy Ryan MD,Male,1989,Married,1,8,Staff,Contarct Basis,2012,Active,,,11,1
385,Tillman Greenfelder,Male,1986,Married,1,49,Staff,Contarct Basis,2012,Active,,,11,0
388,Hanna Wyman,Male,1989,Married,1,22,Staff,Contarct Basis,2012,Inactive,2020.0,3.0,10,7
389,Tessie Fadel,Male,1994,Married,1,24,Staff,Contarct Basis,2012,Active,,,10,7
391,Orval Hessel,Male,1960,Married,1,37,Staff,Contarct Basis,2013,Inactive,2019.0,11.0,10,5
392,Katelin Thompson,Male,1989,Married,2,22,Staff,Contarct Basis,2013,Active,,,10,5
393,Savanna Spinka,Male,1965,Married,2,6,Staff,Contarct Basis,2013,Active,,,10,3
394,Carley Bogisich,Male,1993,Married,1,46,Staff,Contarct Basis,2013,Resigned,2021.0,12.0,10,0
396,Jaquelin Block,Male,1993,Single,1,67,Staff,Contarct Basis,2013,Active,,,9,10
399,Garland Feeney,Male,1989,Married,3,27,Staff,Contarct Basis,2014,Resigned,2021.0,8.0,9,5
